Star,FileName,RAdeg,DEdeg,Dist,Rad,Rad-Flame,Mass-Flame
G188-22,xsl_spectrum_X0176_merged.fits,325.986826084,27.38928479156,131.4424,1.1162,1.1135,1.081
HD 207222,xsl_spectrum_X0730_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
HD 207222,xsl_spectrum_X0731_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
HD 207222,xsl_spectrum_X0732_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
G018-039,xsl_spectrum_X0445_merged.fits,334.65338103134,8.44536883141,155.3371,1.0939,1.1002,1.193
HD 214080,xsl_spectrum_X0443_merged.fits,339.02683262267,-16.38806946533,1357.3843,10.6567,,
HD 215578,xsl_spectrum_X0787_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 215578,xsl_spectrum_X0788_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 215578,xsl_spectrum_X0789_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 216219,xsl_spectrum_X0216_merged.fits,342.71750310696,18.0021707019,116.705,3.5385,3.0946,1.568
HD 216219,xsl_spectrum_X0278_merged.fits,342.71750310696,18.0021707019,116.705,3.5385,3.0946,1.568
HD 218502,xsl_spectrum_X0414_merged.fits,347.16453506592,-15.05459038933,74.2925,1.3426,1.3383,1.188
HD 218857,xsl_spectrum_X0415_merged.fits,347.85224290182,-16.25154280253,327.0633,6.0498,6.405,2.484
HD 221170,xsl_spectrum_X0442_merged.fits,352.36995082918,30.43249683133,520.0583,25.6366,25.9371,4.575
HD 221149,xsl_spectrum_X0749_merged.fits,352.40145792399,-6.83577154549,112.3687,2.2301,2.226,1.281
GJ 768.1 B,xsl_spectrum_MD017_merged_scl.fits,297.75402804849,10.41055394679,19.3478,0.376,0.3771,
G 143-35,xsl_spectrum_MD018_merged_scl.fits,302.80405768606,16.18644996418,893.7136,0.7709,0.7459,0.724
V* V645 Cen,xsl_spectrum_MD021_merged_scl.fits,217.39988636638,-62.67591033731,675.5271,0.7427,,
HD 115404B,xsl_spectrum_MD023_merged_ncl_ncge.fits,199.21782799374,17.01546367446,11.0131,0.6024,0.5982,
HD 1638,xsl_spectrum_X0023_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
HD 1638,xsl_spectrum_X0180_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
HD 1638,xsl_spectrum_X0258_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
HD 1638,xsl_spectrum_X0286_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
CL* NGC 121 T V8,xsl_spectrum_X0385_merged_ncge.fits,6.70220892977,-71.54735912977,11709.2383,16.5253,,
CL* NGC 121 T V1,xsl_spectrum_X0411_merged.fits,6.73522319682,-71.53546206669,6414.4814,13.3109,21.0274,3.196
CL* NGC 121 T V1,xsl_spectrum_X0411_merged.fits,6.73917308686,-71.53571580595,1364.9915,0.6404,,
HD 2796,xsl_spectrum_X0418_merged.fits,7.82047265598,-16.79489157956,678.7642,16.6971,15.1953,3.875
ISO-MCMS J004900.4-732224,xsl_spectrum_X0001_merged_ncl.fits,12.25136001613,-73.37328667731,5067.4048,14.6624,,
ISO-MCMS J004900.4-732224,xsl_spectrum_X0001_merged_ncl.fits,12.25082735208,-73.37424043744,3677.9768,0.7866,,
ISO-MCMS J004932.4-731753,xsl_spectrum_X0002_merged_ncl.fits,12.38597834208,-73.29790834323,23783.7227,102.6659,54.6374,5.193
ISO-MCMS J004950.3-731116,xsl_spectrum_X0003_merged_scl.fits,12.45891221573,-73.18792664064,2224.1016,4.4176,50.0592,3.76
